code_UAI,nom_etablissement,code_departement,nom_formation,code_formation_parcoursup,type_contrat,formation_selective,concour,nombre_candidats,taux_admission,taux_femmes,taux_boursiers,taux_meme_academie,taux_meme_etablissement,taux_bac_technologique,taux_bac_pro,taux_mention_assez_bien,taux_mention_bien,taux_mention_tres_bien,taux_mention_tres_bien_felicitations
9760229V,Lycée de Petite Terre,976,BTS - Services - Comptabilité et gestion,13673,Public,True,False,799,0.12,0.6109375,0.58796875,1.0,0.4709375,0.58796875,0.293984375,0.4709375,0.11798828125,0.0,0.0
9760163Y,Lycée professionnel De Kaweni,976,BTS - Services - Management en hôtellerie restauration,13677,Public,True,False,55,0.52,0.73296875,0.75,1.0,1.0,0.5,0.5,0.125,0.0,0.0,0.0
0352349N,Institut Catholique de Rennes,35,Licence - Lettres - Parcours Lettres Modernes - Enseignement et culture générale,13726,Privé enseignement supérieur,True,False,12,0.8,1.0,0.0,1.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0
0352349N,Institut Catholique de Rennes,35,Licence - Double diplôme - Licence Lettres - Lettres Modernes et Communication,13728,Privé enseignement supérieur,True,False,33,0.93,0.90890625,0.2219921875,0.77796875,0.0,0.0,0.0,0.2219921875,0.5559375,0.0,0.0
0134029J,École Nationale des Techniciens de l'Équipement (ENTE) - Site d'Aix-en-Provence,13,Formation professionnelle - Chargé de projet en aménagement durable du territoire (bac +2),13812,Public,True,False,59,0.76,0.13298828125,0.2,0.6,0.0,0.3,0.0,0.2,0.0,0.0,0.0
9760358K,CUFR Centre Universitaire de Mayotte,976,Licence - Droit,13883,Public,False,False,529,0.85,0.661875,0.625,0.981875,0.0,0.338984375,0.017998046875,0.2859765625,0.03599609375,0.0,0.0
7200664J,Université de Corte,2B,Licence - Information et communication - Parcours Information-Communication,13888,Public,False,False,500,0.99,0.54296875,0.22,0.805,0.0,0.29296875,0.1219921875,0.3409375,0.1219921875,0.0,0.0
7200664J,Université de Corte,2B,Licence - Sciences de l'éducation,13889,Public,False,False,413,0.99,0.886875,0.3109765625,0.885,0.0,0.39296875,0.23,0.3609375,0.23,0.016,0.0
0542493S,Université de Lorraine - Site de Nancy,54,Licence - Langues étrangères appliquées - Parcours Anglais - Arabe - Enseignement à distance,13915,Public,False,False,78,0.62,0.71390625,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
0011329P,Campus de Bourg-en-Bresse - Université Lyon 3,01,Licence - Portail Histoire.,13921,Public,False,False,360,1.0,0.506953125,0.148984375,0.72296875,0.0,0.085,0.042998046875,0.446953125,0.148984375,0.0,0.0
